"","Account_status","Duration","Credit_history","Purpose","Amount","Savings","Employment","Installment_rate","Guarantors","Resident_since","Property","Age","Other_plans","Housing","Num_credits","Job","People_maintenance","Phone","Foreign","BAD","Female"
"1","< 0 DM",6,"critical account / other credits existing (not at this bank)","radio / television",1169,"unknown / no savings account",">= 7 years",4,"none",4,"real estate",67,"none","A152",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Female"
"2","0 < ... <  200 DM",48,"existing credits paid back duly till now","radio / television",5951,"< 100 DM","1  <= ... < 4 years",2,"none",2,"real estate",22,"none","A152",1,"skilled employee / official",1,"none","yes","BAD","Male"
"3","no checking account",12,"critical account / other credits existing (not at this bank)","education",2096,"< 100 DM","4  <= ... < 7 years",2,"none",3,"real estate",49,"none","A152",1,"unskilled - resident",2,"none","yes","GOOD","Female"
"4","< 0 DM",42,"existing credits paid back duly till now","furniture / equipment",7882,"< 100 DM","4  <= ... < 7 years",2,"guarantor",4,"building society savings agreement / life insurance",45,"none","A153",1,"skilled employee / official",2,"none","yes","GOOD","Female"
"5","< 0 DM",24,"delay in paying off in the past","car (new)",4870,"< 100 DM","1  <= ... < 4 years",3,"none",4,"unknown / no property",53,"none","A153",2,"skilled employee / official",2,"none","yes","BAD","Female"
"6","no checking account",36,"existing credits paid back duly till now","education",9055,"unknown / no savings account","1  <= ... < 4 years",2,"none",4,"unknown / no property",35,"none","A153",1,"unskilled - resident",2,"yes, registered under the customers name","yes","GOOD","Female"
"7","no checking account",24,"existing credits paid back duly till now","furniture / equipment",2835,"500 <= ... < 1000 DM",">= 7 years",3,"none",4,"building society savings agreement / life insurance",53,"none","A152",1,"skilled employee / official",1,"none","yes","GOOD","Female"
"8","0 < ... <  200 DM",36,"existing credits paid back duly till now","car (used)",6948,"< 100 DM","1  <= ... < 4 years",2,"none",2,"car or other",35,"none","A151",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","yes","GOOD","Female"
"9","no checking account",12,"existing credits paid back duly till now","radio / television",3059,">= 1000 DM","4  <= ... < 7 years",2,"none",4,"real estate",61,"none","A152",1,"unskilled - resident",1,"none","yes","GOOD","Female"
"10","0 < ... <  200 DM",30,"critical account / other credits existing (not at this bank)","car (new)",5234,"< 100 DM","unemployed",4,"none",2,"car or other",28,"none","A152",2,"management / self-employed / highly qualified employee / officer",1,"none","yes","BAD","Female"
"11","0 < ... <  200 DM",12,"existing credits paid back duly till now","car (new)",1295,"< 100 DM","< 1 year",3,"none",1,"car or other",25,"none","A151",1,"skilled employee / official",1,"none","yes","BAD","Male"
